winner,starter,total_turns,win_direction,ab_pruning,t_tables,depth,turn_times,average_turn_time,turn_nodes,average_turn_nodes
Minimax,Random,12,horizontal,True,True,2,"[0.06, 0.064, 0.071, 0.138, 0.16, 0.201]",0.12,"[343, 361, 400, 789, 902, 1133]",654.67

Minimax,Random,12,horizontal,True,True,3,"[0.353, 0.434, 0.6858, 1.3005, 1.8969, 2.3912]",1.18,"[1983, 2436, 3812, 7327, 10700, 13782]",6673.33

Minimax,Minimax,11,vertical,True,True,4,"[0.002, 13.3581, 8.5894, 21.778, 29.3538, 39.0469]",18.69,"[1, 78880, 51628, 126498, 168671, 227348]",108837.67

Minimax,Minimax,11,vertical,True,True,5,"[0.002, 12.2273, 13.1974, 31.6503, 77.152, 113.1386]",41.23,"[1, 55697, 65911, 148979, 404019, 633563]",218028.33

Minimax,Minimax,9,vertical,True,True,1,"[0.002, 0.006, 0.005, 0.009, 0.012]",0.01,"[1, 19, 19, 37, 55]",26.2

Minimax,Random,12,horizontal,True,True,2,"[0.061, 0.067, 0.076, 0.131, 0.174, 0.11]",0.1,"[343, 382, 364, 755, 974, 631]",574.83

Minimax,Random,15,vertical,True,True,3,"[0.3768, 0.5745, 0.9926, 0.9452, 1.5562, 0.595, 0.862]",0.84,"[2089, 3262, 5551, 5312, 9333, 4018, 5760]",5046.43

Minimax,Minimax,7,horizontal,True,True,4,"[0.003, 9.3535, 18.0508, 13.3881]",10.2,"[1, 55249, 108562, 80808]",61155.0

Minimax,Minimax,11,horizontal,True,True,5,"[0.002, 13.6018, 18.3388, 81.0831, 45.9817, 15.2283]",29.04,"[1, 61142, 79088, 363839, 232837, 88894]",137633.5

Minimax,Random,10,vertical,True,True,1,"[0.005, 0.005, 0.008, 0.009, 0.011]",0.01,"[19, 19, 37, 37, 55]",33.4

Minimax,Random,8,vertical,True,True,2,"[0.06, 0.064, 0.1512, 0.184]",0.11,"[343, 362, 856, 1063]",656.0

Minimax,Minimax,7,horizontal,True,True,3,"[0.003, 0.438, 0.44, 1.1484]",0.51,"[1, 2467, 2618, 6947]",3008.25

Minimax,Minimax,13,horizontal,True,True,4,"[0.002, 7.1084, 9.1646, 21.8209, 27.5169, 58.9106, 25.9226]",21.49,"[1, 41942, 54842, 126498, 158573, 341306, 151435]",124942.43

Minimax,Minimax,14,lru,True,True,5,"[0.003, 14.3663, 22.8865, 33.0851, 47.2781, 31.8876, 37.7002]",26.74,"[1, 63810, 106204, 153682, 248032, 180674, 217271]",138524.86

Minimax,Minimax,13,horizontal,True,True,1,"[0.002, 0.006, 0.006, 0.005, 0.008, 0.009, 0.012]",0.01,"[1, 19, 19, 19, 37, 37, 55]",26.71

Minimax,Minimax,7,horizontal,True,True,2,"[0.002, 0.06, 0.123, 0.059]",0.06,"[1, 343, 708, 361]",353.25

Minimax,Random,13,horizontal,True,True,3,"[0.3534, 0.407, 0.9955, 1.9091, 1.5792, 0.7045]",0.99,"[1983, 2285, 5706, 10756, 9200, 4794]",5787.33

